group,year1980,year1990,year2000,year2010
45-49,4.038,6.732,5.684,2.971
40-44,13.626,16.758,17.286,20.394
35-39,4.303,6.074,10.749,15.462
30-34,11.139,14.827,24.009,33.82
25-29,41.754,37.588,29.336,21.541
20-24,24.814,17.977,12.931,5.812
15-19,0.326,0.044,0.005,0.001
